ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,PURCHASE
00001Q15YJ,50,M,445344.0,439,0
00003I71CQ,35,M,107634.0,283,0
00003N47FS,59,F,502786.6666666667,390,1
00005H41DE,43,M,585664.0,475,0
00007E17UM,39,F,705722.6666666666,497,1
00007I26OR,28,F,389994.6666666667,443,1
00015B11UO,54,M,85056.0,425,0
00020K99TA,28,F,453584.0,173,0
00020W72QC,25,F,324574.6666666666,300,0
00022F48XA,47,M,363206.0,474,1
00026X43XZ,61,M,292983.0,210,0
00031Q27QZ,33,F,438941.3333333333,100,1
00032B38ZX,50,M,478445.0,329,1
00033C02IM,25,M,277729.0,430,1
00034P01OK,45,M,385604.0,492,1
00038B31VO,51,F,159413.33333333334,585,1
00039X03RX,25,M,227439.0,23,0
00040B49KN,43,M,572440.0,356,0
00040O73KD,35,M,240251.0,536,1
00045U73GK,58,F,205192.0,876,1
00049M22HG,35,M,108590.0,400,0
00052E59WH,53,F,436709.3333333333,510,1
00056R56IH,53,F,370768.0,96,0
00057N31MO,30,F,396397.3333333333,285,1
00059Q04KC,49,F,458992.0,265,0
00061K54RB,43,M,485917.0,273,1
00062R49DY,37,M,361216.0,243,0
00067S81IY,26,F,341240.0,377,0
00069Q75MB,35,F,277725.3333333333,106,0
00069R58QN,51,M,607229.0,485,0
00070L09VD,40,M,328247.0,336,0
00073G60ML,64,F,358005.3333333333,426,1
00074E80ZM,59,M,450981.0,258,1
00078B50YA,34,F,216370.66666666666,231,0
00083A72KE,50,F,730685.3333333334,406,1
00085N14CA,34,M,146852.0,357,0
00086Y65GU,65,F,420082.6666666667,666,0
00088T31UB,51,F,131949.33333333334,783,1
00090Q78CZ,62,F,136266.66666666666,390,0
00091B82ZO,65,F,409160.0,228,1
00093J67SK,52,M,256962.0,139,0
00095Q17AL,25,F,365514.6666666667,236,0
00099K86CW,62,M,682251.0,344,0
00101P10AC,47,M,184303.0,385,1
00104R23KJ,41,F,366200.0,370,1
00105P34KP,39,M,793682.6666666666,943,1
00105Z55XB,28,F,134834.66666666666,313,0
00107Y54OB,27,M,192229.0,805,1
00108X61TB,29,M,218007.0,431,1
00111A34ML,42,M,442952.0,213,0
00113N53ZL,59,M,669568.0,276,1
00115C31GT,25,F,387785.3333333334,477,1
00118J08EC,47,F,275520.0,304,0
00122X31AB,58,F,401832.0,225,0
00124L11WJ,50,M,576933.3333333334,132,1
00126P38RZ,59,M,396243.0,95,1
00127P24GO,37,M,234791.0,277,1
00129H75QI,58,F,311133.3333333333,430,1
00130C94GP,33,M,296322.0,220,0
00137X41CD,49,M,363144.0,388,1
00139F51QE,46,M,315221.0,263,1
00140V89YT,36,M,779277.3333333334,489,1
00141I56XV,40,F,292216.0,205,0
00142J61TJ,37,F,453501.3333333333,95,0
00149E58QC,40,M,197281.0,436,1
00149V45IO,27,M,248446.0,640,1
00152W66MO,36,F,419744.0,93,0
00163W34YW,52,F,380120.0,407,1
00166U36NR,26,F,146413.33333333334,202,0
